name,type,lat,lng,tags
Chamberlain,park,36.226637335848345,-95.98903967585889,Full Address: 4940 N FRANKFORT; Operational Hours: Daylight; Size of Park: 14.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Lakeview,park,36.210626759904066,-95.95137963666592,Full Address: 3829 N COLUMBIA AVE; Operational Hours: Daylight; Size of Park: 9.63; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Starks (Cheyenne),park,36.179674770143514,-95.99759859241522,Full Address: 1622 N MAIN ST; Operational Hours: Daylight; Size of Park: 3.78; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Explorer,park,36.08228082926643,-95.89661756374683,Full Address: 7807 E 58TH ST S; Operational Hours: Daylight; Size of Park: 4.7; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Admiral,park,36.160465222953455,-95.96595383211867,Full Address: 29 N VICTOR AVE; Operational Hours: Daylight; Size of Park: 2.3; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Darlington,park,36.121539150736524,-95.91745575992977,Full Address: 5179 E 29TH ST; Operational Hours: Daylight; Size of Park: 4.86; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Creek Council Oak,park,36.13616478875659,-95.98995271031586,Full Address: 1750 S CHEYENNE AVE; Operational Hours: Daylight; Size of Park: 1.87; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Hinch,park,36.13772230135265,-95.80485499346753,Full Address: 1616 S 157TH E AVE; Operational Hours: Daylight; Size of Park: 5.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Skatenorth,park,36.23283440404543,-95.94833229385254,Full Address: 2910 E 56TH ST N; Operational Hours: Daylight; Size of Park: 62.4; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation/sports/skate-parks; Playgrounds Available: No; Water Playground Available: No
Norvell,park,36.16613247762885,-95.8916910134885,Full Address: 722 N 77TH E AVE; Operational Hours: Daylight; Size of Park: 6.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Philpott,park,36.10844197149255,-96.00528515247932,Full Address: 1114 W 37TH PL; Operational Hours: Daylight; Size of Park: 1028.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Summerglen Plaza,park,36.11031715359828,-95.82411365586356,Full Address: 3607 S 139TH E AVE; Operational Hours: Daylight; Size of Park: 20.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Terwilliger,park,36.14508695573095,-96.05927383670394,Full Address: 5902 W 10TH ST; Operational Hours: Daylight; Size of Park: 8.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Gunboat South,park,36.144386892261004,-95.98121857012362,Full Address: 1230 S FRANKFORT AVE; Operational Hours: Daylight; Size of Park: 0.25; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Boeing,park,36.15891826049663,-95.87322960029951,Full Address: 9234 E 2ND ST; Operational Hours: Daylight; Size of Park: 34.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Carl Smith,park,36.13337805864703,-95.78583668843969,Full Address: 17120 E 21ST ST; Operational Hours: Daylight; Size of Park: 149.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Wright,park,36.15413974823136,-95.82426090470344,Full Address: 437 S 137TH E AVE; Operational Hours: Daylight; Size of Park: 4.66; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Jingle Feldman,park,36.16698597405103,-95.87555103542797,Full Address: 8989 E INDEPENDENCE ST; Operational Hours: Daylight; Size of Park: 5.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
McCullough,park,36.12749427865694,-95.84679197319382,Full Address: 11534 E 25TH ST; Operational Hours: Daylight; Size of Park: 11.5; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
