OBJECTID,Facility Identifier,Name of Facility,Subtype Field,Feature Code,Full Address,Operational Days,Operational Hours,Size of Park,Website,Number of Parking Spaces,Restrooms Available,ADA Compliant,Camping Available,Swimming Available,Hiking Available,Fishing Available,Picnicing Available,Boating Available,Hunting Available,Cycling Available,MTB Available,Playgrounds Available,Golf Available,Skiing Available,Soccer Fields Available,Baseball Fields Available,Basketball Courts Available,Junior Pools,Tennis Court Available,Lighted Tennis Court Available,Water Playground Available,Splash Pad Available,Dog Park Location,Disc Golf Available,Drinking Fountains Available,Basketball Half Court Available,Outdoor Fitness Available,Skatepark Available,Sand Volleyball Court,Recreation Center Available,Labyrinth,Toddler Park,Streams,Owner Type,x,y
1,Cha-494,Chamberlain,790,Park,4940 N FRANKFORT,Sun-Sat,Daylight,14,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Municipal,2561587.29822668,452658.844962016
2,Lak-382,Lakeview,790,Park,3829 N COLUMBIA AVE,Sun-Sat,Daylight,9.63,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2572815.57219397,447063.999278367
3,Sta-162,Starks (Cheyenne),790,Park,1622 N MAIN ST,Sun-Sat,Daylight,3.78,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2559415.97998074,435514.501380034
4,Exp-780,Explorer,790,Park,7807 E 58TH ST S,Sun-Sat,Daylight,4.7,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2589979.22676095,400698.989482328
5,Adm-29,Admiral,790,Park,29 N VICTOR AVE,Sun-Sat,Daylight,2.3,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2568899.56542626,428717.340187639
6,Dar-517,Darlington,790,Park,5179 E 29TH ST,Sun-Sat,Daylight,4.86,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2583516.68678251,414853.963222846
7,Cre-175,Creek Council Oak,790,Park,1750 S CHEYENNE AVE,Sun-Sat,Daylight,1.87,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2561999.87327095,419725.683302224
8,Hin-161,Hinch,790,Park,1616 S 157TH E AVE,Sun-Sat,Daylight,5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2616631.09520908,421476.112872221
9,Ska-291,Skatenorth,790,Park,2910 E 56TH ST N,Sun-Sat,Daylight,62.4,http://www.cityoftulsa.org/government/departments/park-and-recreation/sports/skate-parks,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Municipal,2573543.53415668,455165.463144302
10,Nor-722,Norvell,790,Park,722 N 77TH E AVE,Sun-Sat,Daylight,6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2590771.82483127,431247.524185658
